site,sensor,deploy.time,collection.time,collection.temp
MUL2HA,923,6/7/2019 11:10,7/8/2019 4:30,0.9
MUL2HB,873,6/7/2019 11:10,7/8/2019 4:30,0.9
MULAir,42,6/7/2019 11:10,7/8/2019 4:30,12.3
MUL2CA,21,6/7/2019 11:40,7/8/2019 4:50,7.2
MUL2CB,44,6/7/2019 11:40,7/8/2019 4:50,7.2
MUL4HA,8,6/7/2019 12:00,7/8/2019 5:10,5.6
MUL4HB,48,6/7/2019 12:00,7/8/2019 5:10,5.6
MUL4CA,46,6/7/2019 12:20,7/8/2019 5:10,8.5
MUL4CB,1,6/7/2019 12:20,7/8/2019 5:10,8.5
MUL7HA,2,6/7/2019 13:00,7/8/2019 5:20,5.1
MUL7HB,28,6/7/2019 13:00,7/8/2019 5:20,5.1
MUL7CA,30,6/7/2019 13:40,7/8/2019 5:40,4.6
MUL7CB,837,6/7/2019 13:40,7/8/2019 5:40,4.6
ULB2CA,49,6/10/2019 1:50,7/9/2019 1:30,12.2
ULB2CB,801,6/10/2019 1:50,7/9/2019 1:30,12.2
ULB2HA,32,6/10/2019 1:40,7/9/2019 12:10,8.4
ULB2HB,806,6/10/2019 1:40,7/9/2019 12:10,8.4
ULBAir,130,6/10/2019 1:30,7/9/2019 12:10,16.6
ULB3CA,73,6/10/2019 2:00,7/9/2019 1:10,11.4
ULB3CB,142,6/10/2019 2:00,7/9/2019 1:10,11.4
ULB3HA,45,6/10/2019 2:20,7/9/2019 12:50,8
ULB3HB,700,6/10/2019 2:20,7/9/2019 12:50,8
ULB4HA,802,6/10/2019 2:40,7/9/2019 2:20,6.3
ULB4HB,15,6/10/2019 2:40,7/9/2019 2:20,6.3
ULB4CA,831,6/10/2019 3:00,7/9/2019 2:40,11.9
ULB4CB,41,6/10/2019 3:00,7/9/2019 2:40,11.9
LS180A,144,6/11/2019 1:10,7/8/2019 11:20,6
LS180B,40,6/11/2019 1:10,7/8/2019 11:20,6
GC300A,43,6/11/2019 1:20,7/8/2019 11:40,9.4
GC300B,4,6/11/2019 1:20,7/8/2019 11:40,9.4
LS0A,804,6/11/2019 4:50,7/9/2019 10:30,9
LS0B,78,6/11/2019 4:50,7/9/2019 10:30,9
GC100A,80,6/11/2019 4:50,7/9/2019 10:20,10.3
GC100B,149,6/11/2019 4:50,7/9/2019 10:20,10.3
W600A,137,6/11/2019 2:00,7/8/2019 12:50,8.8
W600B,62,6/11/2019 2:00,7/8/2019 12:50,8.8
W400A,145,6/11/2019 2:20,7/8/2019 12:30,10.3
W400B,77,6/11/2019 2:20,7/8/2019 12:30,10.3
GGAir,827,6/11/2019 2:00,7/8/2019 12:50,15.5
RMO1HA,846,6/13/2019 10:40,7/9/2019 20:10,9.7
RMO1HB,85,6/13/2019 10:40,7/9/2019 20:10,9.7
RMOAir,138,6/13/2019 10:40,7/9/2019 20:10,14.9
RMO1CA,133,6/13/2019 11:00,7/9/2019 20:30,12.5
RMO1CB,84,6/13/2019 11:00,7/9/2019 20:30,12.5
RMO2HA,29,6/13/2019 11:50,7/9/2019 21:20,9.4
RMO2HB,830,6/13/2019 11:50,7/9/2019 21:20,9.4
RMO2CA,826,6/13/2019 12:10,7/9/2019 21:10,12.1
RMO2CB,823,6/13/2019 12:10,7/9/2019 21:10,12.1
RMO3HA,54,6/13/2019 12:40,7/9/2019 19:10,7.3
RMO3HB,50,6/13/2019 12:40,7/9/2019 19:10,7.3
RMO3CA,147,6/13/2019 13:00,7/9/2019 19:00,10.1
RMO3CB,34,6/13/2019 13:00,7/9/2019 19:00,10.1
